Timestamp local time,Store ID,Store name,DoorDash transaction ID,DoorDash order ID,POS order ID,Transaction type,Channel,Description,Subtotal,Tax (subtotal),Customer fees,Tax (customer fees),Total tips,Commission,Tax (commission),Merchant fees | (for historical reference only),Tax (merchant fees) | (for historical reference only),Error charges,Adjustments | (for historical reference only),Net total,Payout date,Payout ID,Merchant fees,Tax (merchant fees),Marketing fees & discounts | (including any applicable taxes),DoorDash marketing credit,Third-party contribution,Adjustments
2024-12-11 19:37:15.327411000,787703,Pizza Palace (Reisterstown),11936864105,71AC584B,NULL,Order,Self-delivery,NULL,21.98,1.14,0.00,0.00,4.50,-2.28,0.00,-3.99,0.00,0.00,0.00,21.35,2024-12-16,446618440,0.00,0.00,-3.99,0.00,0.00,0.00
2024-12-12 16:28:20.171419000,787703,Pizza Palace (Reisterstown),11943853638,CF7408CE,NULL,Fee,Self-delivery,Ad fee for order_id: CF7408CE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.27,0.00,0.00,0.00,-6.27,2024-12-16,446618440,0.00,0.00,-6.27,0.00,0.00,0.00
2024-12-12 17:10:38.372504000,787703,Pizza Palace (Reisterstown),11944226056,CF7408CE,NULL,Order,Self-delivery,NULL,24.73,1.31,2.99,0.00,4.00,-3.26,0.00,-3.99,0.00,0.00,0.00,25.78,2024-12-16,446618440,0.00,0.00,-3.99,0.00,0.00,0.00
2024-12-12 19:05:02.581330000,787703,Pizza Palace (Reisterstown),11945532599,AAEDCE1E,NULL,Order,Self-delivery,NULL,21.98,1.32,0.00,0.00,0.00,-2.64,0.00,0.00,0.00,0.00,0.00,20.66,2024-12-16,446618440,0.00,0.00,0.00,0.00,0.00,0.00
2024-12-12 22:33:16.819580000,787703,Pizza Palace (Reisterstown),11948089531,2905E686,NULL,Fee,Self-delivery,Ad fee for order_id: 2905E686,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.02,0.00,0.00,0.00,-6.02,2024-12-16,446618440,0.00,0.00,-6.02,0.00,0.00,0.00
2024-12-12 23:42:59.136188000,787703,Pizza Palace (Reisterstown),11948592942,2905E686,NULL,Order,Self-delivery,NULL,18.28,0.94,0.00,0.00,5.00,-1.86,0.00,-3.73,0.00,0.00,0.00,18.63,2024-12-16,446618440,0.00,0.00,-3.73,0.00,0.00,0.00
2024-12-13 16:59:06.384276000,787703,Pizza Palace (Reisterstown),11953729077,05216491,NULL,Order,Self-delivery,NULL,34.98,1.79,0.00,0.00,0.00,-1.78,0.00,-6.24,0.00,0.00,0.00,28.75,2024-12-17,447477960,0.00,0.00,-6.24,0.00,0.00,0.00
2024-12-13 17:21:46.097435000,787703,Pizza Palace (Reisterstown),11953967452,52583246,NULL,Order,Self-delivery,NULL,35.48,1.81,0.00,0.00,3.00,-3.62,0.00,-6.31,0.00,0.00,0.00,30.36,2024-12-17,447477960,0.00,0.00,-6.31,0.00,0.00,0.00
2024-12-13 18:00:27.867033000,787703,Pizza Palace (Reisterstown),11954427715,B1BE5019,NULL,Order,Self-delivery,NULL,21.49,1.11,0.00,0.00,0.00,-2.22,0.00,-3.99,0.00,0.00,0.00,16.39,2024-12-17,447477960,0.00,0.00,-3.99,0.00,0.00,0.00
2024-12-13 19:34:19.771488000,787703,Pizza Palace (Reisterstown),11955780150,BDCE1FF2,NULL,Order,Self-delivery,NULL,37.98,1.94,0.00,0.00,4.00,-3.87,0.00,-6.69,0.00,0.00,0.00,33.36,2024-12-17,447477960,0.00,0.00,-6.69,0.00,0.00,0.00
2024-12-13 23:17:06.174340000,787703,Pizza Palace (Reisterstown),11958698560,8E88420A,NULL,Order,Self-delivery,NULL,59.67,3.23,2.99,0.00,7.50,-8.05,0.00,-6.99,0.00,0.00,0.00,58.35,2024-12-17,447477960,0.00,0.00,-6.99,0.00,0.00,0.00
2024-12-14 20:12:02.335422000,787703,Pizza Palace (Reisterstown),11966598434,6556D46F,NULL,Fee,Self-delivery,Ad fee for order_id: 6556D46F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.08,0.00,0.00,0.00,-6.08,2024-12-18,447514893,0.00,0.00,-6.08,0.00,0.00,0.00
2024-12-14 21:21:12.085430000,787703,Pizza Palace (Reisterstown),11967528312,6556D46F,NULL,Order,Self-delivery,NULL,23.98,1.26,2.99,0.00,2.00,-3.15,0.00,-3.99,0.00,0.00,0.00,23.09,2024-12-18,447514893,0.00,0.00,-3.99,0.00,0.00,0.00
